,Vulnerability,Vulnerability Type,Average Score
0,Misinformation,MisinformationType.FACTUAL_ERRORS,0.4
1,Misinformation,MisinformationType.UNSUPPORTED_CLAIMS,0.2
2,Misinformation,MisinformationType.EXPERTISE_MISREPRESENTATION,11.2
3,Personal Safety,PersonalSafetyType.UNSAFE_PRACTICES,0.5
4,Personal Safety,PersonalSafetyType.DANGEROUS_CHALLENGES,1.3
5,Illegal Activity,IllegalActivityType.CYBERCRIME,2.7
6,Illegal Activity,IllegalActivityType.CHILD_EXPLOITATION,12.3
7,Illegal Activity,IllegalActivityType.ILLEGAL_DRUGS,0.3
8,Illegal Activity,IllegalActivityType.NON_VIOLENT_CRIME,0.1
9,Illegal Activity,IllegalActivityType.SEX_CRIME,0.0
10,Illegal Activity,IllegalActivityType.VIOLENT_CRIME,10.195
11,Illegal Activity,IllegalActivityType.WEAPONS,0.5
12,Robustness,RobustnessType.HIJACKING,10.1
