Question,Ground Truth,Manual Validity Check,Corrected Answers,Checked by,LLM answers,Top 3 Chunks Retrieved,,
What is the legal age of criminal responsibility in Singapore?,"Answer: In Singapore, the minimum age of criminal responsibility is 10 years old, as stated under Section 82 of the Penal Code.","True, under Penal Code 1871, section 82: ""Nothing is an offence which is done by a child below 10 years
 of age.""",Act of a child below 10 years of age 82. Nothing is an offence which is done by a child below 10 years of age,jj,,,,
 What are the penalties for theft under Singapore law?,"Answer: Under Section 379 of the Penal Code, the punishment for theft in Singapore includes imprisonment for up to 3 years, a fine, or both.","True, this could be also found in Penal Code 1871, section 379: ""379. Whoever commits theft shall be punished with imprisonment
 for a term which may extend to 3 years, or with fine, or with both.""","Punishment for theft 379. Whoever commits theft shall be punished with imprisonment for a term which may extend to 3 years, or with fine, or with both.",jj,,,,
Is self-defense a valid legal defense in Singapore?,"Answer: Yes, self-defense is a recognized legal defense under Section 96 of the Penal Code, provided the act was necessary and proportionate to the threat faced.","True, this could be also found in Penal Code 1871, section 96: ""Nothing is an offence which is done in the exercise of the right
 of private defence.""",Nothing done in private defence is an offence 96. Nothing is an offence which is done in the exercise of the right of private defence.,jj,,,,
What is the penalty for individuals found in possession of subversive documents,,TRUE,"Making and possession of subversive documents 4.—(1) Any person who, without lawful excuse, makes, causes to be made, carries or has in his possession or under his control any subversive document shall be guilty of an offence and shall be liable on conviction to imprisonment for a term not exceeding 10 years.",jj,,,,
How long can a person be detained without being brought before a court,,TRUE,"Person arrested not to be detained more than 48 hours 68.—(1) Unless the court orders otherwise under section 92(3)(a) or 93(3B)(a), no police officer may detain in custody a person who has been arrested without a warrant for a longer period than under all the circumstances of the case is reasonable. [19/2018] (2) The period must not exceed 48 hours exclusive of the time necessary for the journey from the place of arrest to the Magistrate’s Court.",jj,,,,
What constitutes criminal trespass in Singapore?,"Answer: Under Section 447 of the Penal Code, criminal trespass involves entering or remaining on another's property with the intent to commit an offense or to intimidate, insult, or annoy the property owner.","It should be Section 441 instead, specifically being ""Whoever enters into or upon property in the possession of another with intent to commit an offence or to intimidate, insult or annoy any person in possession of such property, or having lawfully entered into or upon such property, unlawfully remains there with intent thereby to intimidate, insult or annoy any such person, or with intent to commit an offence, is said to commit “criminal trespass”""","Whoever enters into or upon property in the possession of another with intent to commit an offence or to intimidate, insult or annoy any person in possession of such property, or having lawfully entered into or upon such property, unlawfully remains there with intent thereby to intimidate, insult or annoy any such person, or with intent to commit an offence, is said to commit “criminal trespass""",Huanqing,"Whoever commits criminal trespass shall be punished with imprisonment for a term which may extend to 3 months, or with fine which may extend to $1,500, or with both","A person may be a party to a criminal conspiracy in Singaporeto commit an offence outside Singapore, which would constitute anoffence if committed in Singapore. [15/2019]","Every public servant who, being a citizen or a permanent residentof Singapore, when acting or purporting to act in the course of hisemployment, commits an act or omission outside Singapore that ifcommitted in Singapore would constitute an offence under the law inforce in Singapore, is deemed to have committed that act or omissionin Singapore. and includes an attempt to commit the offence, an abetmentof the offence and a criminal conspiracy to commit theoffence.","is entering sufficient to constitute house-breaking.
[15/2019]
443. [Repealed by Act 15 of 2019]444. [Repealed by Act 15 of 2019]445. [Repealed by Act 15 of 2019]446. [Repealed by Act 15 of 2019]
Punishment for criminal trespass
447. Whoever commits criminal trespass shall be punished withimprisonment for a term which may extend to 3 months, or with finewhich may extend to $1,500, or with both.
Informal Consolidation - version in force from 31/1/2024
Punishment for house-breaking
448. Whoever commits house-breaking shall be guilty of an offenceand shall be punished with imprisonment for a term which mayextend to 3 years, or with fine, or with both.
[15/2019]
House-breaking in order to commit an offence punishable withdeath"
Can minors be sentenced to imprisonment in Singapore?,"Answer: Minors under the age of 16 are generally dealt with under the Children and Young Persons Act and may be placed in rehabilitation instead of imprisonment, except in serious cases.","It's from ""Children and Young Persons Act 1993"", which is not part of our documents",,Huanqing,,,,
What is the punishment for drug trafficking in Singapore?,"Answer: Under the Misuse of Drugs Act, drug trafficking can lead to severe penalties, including life imprisonment or the death penalty, depending on the quantity and type of drug involved.",MDA not mentioned in Penal Code,,Huanqing,,,,
"What is the punishment for furnishing false information to a public servant?
",-,"Penal Code Page 106, term 177","A person who, being legally bound to furnish
information on any subject to any public servant, as such,
furnishes, as true, information on the subject which the person
knows or has reason to believe to be false, shall —
(a) in the case of an individual, be punished with
imprisonment for a term which may extend to 6 months,
or with fine which may extend to $5,000, or with both; or
(b) in any other case, be punished with fine which may extend
to $10,000.",Huanqing,,,,
"Can a witness refuse to answer a question that might incriminate them?
",-,"Evidence Act, page 92, term 134 (1)(2)","A witness is not excused from answering any question as
to any matter relevant to the matter in issue in any suit, or in any civil
or criminal proceeding, upon the ground that the answer to such
question will criminate, or may tend, directly or indirectly, to
criminate, such witness, or that it will expose, or tend, directly or
indirectly, to expose, such witness to a penalty or forfeiture of any
kind, or that it will establish or tend to establish that the witness owes
a debt or is otherwise subject to a civil suit at the instance of the
Government or of any other person.
No answer which a witness is compelled by the court to give
shall subject him or her to any arrest or prosecution, or be proved
against him or her in any criminal proceeding, except a prosecution
for giving false evidence by such answer.",Huanqing,,,,
"Who has the power to refer any question of law of public
interest without the permission of the Court of Appeal?",-,"Criminal Procedure Code, page 391 (2)","The Public Prosecutor may refer any question of law of public
interest without the permission of the Court of Appeal",Huanqing,,,,
"Under what conditions can a court proceed in the absence of an accused?
",-,"Criminal Procedure Code, page 159 and 160, term 156","If the summons or notice was duly served on the
accused at least 7 days (or such shorter period as the court may consider reasonable in a particular case) before the time appointed in
the summons or notice for appearing; and the accused was notified, when the summons
or notice was served on the accused, that the court may hear and determine the complaint in
the absence of the accused, if the accused fails
to appear at the time and place mentioned in the
summons or notice; and no sufficient ground is shown for an adjournment;",Huanqing,,,,
What constitutes assault under Singapore law?,-,"Panel Code, Section 351, Page 184","Whoever makes any gesture or any preparation, intending or knowing it to be likely that such gesture or preparation will cause any person present to apprehend that he who makes that gesture or preparation is about to use criminal force to that person, is said to commit an assault.",Gege,,,,
What is the penalty for illegal strikes and lock-outs under the Criminal Law (Temporary Provisions) Act 1955?,-,"Criminal Law (Temporary Provisions) Act 1955, Page 11","Any workman who commences, continues or otherwise acts in furtherance of a strike which is illegal under this Part shall be guilty of an offence and shall be liable on conviction to a fine not exceeding $2,000 or to imprisonment for a term not exceeding 12 months or to both.",Gege,,,,
What is the punishment for making or possessing a subversive document under the Criminal Law (Temporary Provisions) Act 1955?,,"Criminal Law (Temporary Provisions) Act 1955, Page 7","Any person who, without lawful excuse, makes, causes to be made, carries or has in his possession or under his control any subversive document shall be guilty of an offence and shall be liable on conviction to imprisonment for a term not exceeding 10 years.",Gege,,,,
What constitutes an unlawful assembly under the Penal Code 1871?,,"Panel Code, Section 141, Page 93","An assembly of 5 or more persons is designated an “unlawful assembly”, if the common object of the persons composing that assembly is —
(a) to overawe by criminal force, or show of criminal force, the Legislative or Executive Government, or any public servant in the exercise of the lawful power of such public servant;
(b) to resist the execution of any law, or of any legal process;
(c) to commit any offence;
(d) by means of criminal force, or show of criminal force, to any person, to take or obtain possession of any property, or to deprive any person of the enjoyment of a right of way, or of the use of water or other incorporeal right of which he is
in possession or enjoyment, or to enforce any right or supposed right; or
(e) by means of criminal force, or show of criminal force, to compel any person to do what he is not legally bound to do, or to omit to do what he is legally entitled to do.
",Gege,,,,
What is criminal breach of trust in Singapore?,"Answer: Under Section 405 of the Penal Code, criminal breach of trust occurs when someone entrusted with property dishonestly misappropriates or converts it for their own use.",True. This is a shortened version of the Penal Code 405.,True. This is a shortened version of the Penal Code 405.,yk,,,,
Who is ineligible for a community order under the Criminal Procedure Code 2010??,"Answer: A person is ineligible for a community order under Section 337 of the Criminal Procedure Code 2010 if they had 1) Offences with Fixed or Mandatory Sentences 2) Serious Offences and Criminal History 3)  Drug and Substance Abuse History 4) Fine-Only and Serious Imprisonment Offences. However, Courts may still issue a mandatory treatment order under Section 339 for Individuals who fall under points 2(d) or 3, Offences under the Misuse of Drugs Act 1973 or Intoxicating Substances Act 1987 with prior admissions to an approved institution or centre, offences punishable by imprisonment exceeding 3 but not more than 7 years, if prescribed. Courts may issue a community work order under Section 344 for Fine-only offences and Offences with a mandatory minimum fine.",This is mentioned in Community Orders section in the Crimminal Procedure Code. ,"Answer: A person is ineligible for a community order under Section 337 of the Criminal Procedure Code 2010 if they had 1) Offences with Fixed or Mandatory Sentences 2) Serious Offences and Criminal History 3)  Drug and Substance Abuse History 4) Fine-Only and Serious Imprisonment Offences. However, Courts may still issue a mandatory treatment order under Section 339 for Individuals who fall under points 2(d) or 3, Offences under the Misuse of Drugs Act 1973 or Intoxicating Substances Act 1987 with prior admissions to an approved institution or centre, offences punishable by imprisonment exceeding 3 but not more than 7 years, if prescribed. Courts may issue a community work order under Section 344 for Fine-only offences and Offences with a mandatory minimum fine.",yk,,,,
