Question,Ground Truth,Manual Validity Check,Corrected Answers,Checked by,LLM answers,Top 3 Chunks Retrieved,,,7B Model Answer
Question: What is the legal age of criminal responsibility in Singapore?,"Answer: In Singapore, the minimum age of criminal responsibility is 10 years old, as stated under Section 82 of the Penal Code.","True, under Penal Code 1871, section 82: ""Nothing is an offence which is done by a child below 10 years
 of age.""",Act of a child below 10 years of age 82. Nothing is an offence which is done by a child below 10 years of age,jj,"The legal age of criminal responsibility in Singapore is 16 years old. 
This means that individuals who are 16 years or older can be held criminally responsible for their actions, while those under 16 are considered minors and may face different consequences.
Let me know if you have any other questions! ","(5) In this section, “first-time offender"", in relation to an offence,means a person who does not fall within any of the followingdescriptions:(a) a person who had previously been sentenced to a term of
imprisonment for 2 years or more, and has been convictedin Singapore or elsewhere at least twice since he or shereached 16 years of age for offences punishable with such asentence; or","(9)  The Minister charged with the responsibility for the probation ofoffenders may -(a) appoint any person to be a community service officer for
348.—(1) Where an offender who is 16 years of age or above isconvicted of an offence, and if the court by or before which he or sheis convicted is satisfied that having regard to the circumstances,including the nature of the offence and the character of the offender, itis expedient to do so, the court may make a short detention orderrequiring the offender to be detained in prison for a period whichmust not exceed 14 days.","(2) Where a person 30 years of age or above -(a) is convicted before the General Division of the High Court
or  a District Court of an offence punishable withimprisonment for 2 years or more, and has beenconvicted in Singapore or elsewhere at least 3 timessince he or she reached 16 years of age for offencespunishable with such a sentence, and was on at least 2 ofthose occasions sentenced to imprisonment or correctivetraining; or",
Question: What are the penalties for theft under Singapore law?,"Answer: Under Section 379 of the Penal Code, the punishment for theft in Singapore includes imprisonment for up to 3 years, a fine, or both.","True, this could be also found in Penal Code 1871, section 379: ""379. Whoever commits theft shall be punished with imprisonment
 for a term which may extend to 3 years, or with fine, or with both.""","Punishment for theft 379. Whoever commits theft shall be punished with imprisonment for a term which may extend to 3 years, or with fine, or with both.",jj,"Here's a breakdown of the penalties for theft in Singapore as outlined by the Penal Code:
General Principles:
Theft is defined broadly: It encompasses various acts like taking property without consent, including movable and immovable items.
Penalties vary based on value: The severity depends on how much was stolen (amount of money or goods). This can range from a fine to imprisonment for years.
""Offence punishable under this Code"": The Penal Code lists specific offenses that are considered theft, and the penalties will be determined by which section is applicable.
Penalties:
Simple Theft (Section 324): This covers cases where a person steals property without force or threat of violence.
Penalty: Imprisonment for up to 7 years, fine, or both. The amount of the fine will depend on the value stolen and can be as high as $5000 in some instances.
Theft from a Person (Section 319): This covers cases where theft is committed against another person's property while they are present or under their control, such as stealing money from someone's purse during an altercation.
Penalty: Imprisonment for up to 7 years, fine, or both. The amount of the fine will depend on the value stolen and can be as high as $5000 in some instances.
","15 years and shall be liable to caning.
140B. The provisions of this Chapter relating to offencescommitted in relation to members of the Singapore Armed Forcesor any visiting forces lawfully present in Singapore shall apply, withthe necessary modifications, to similar acts committed in relation tomembers of the Singapore Police Force or any volunteer, auxiliary orspecial force attached to, or coming under the jurisdiction of, thatForce.","(3) An article or instrument is presumed to be carried with lawfulauthority if it is carried by -(a)  any member of the Singapore Armed Forces, the Singapore
enforcement officer acting in the course of his duty assuch in accordance with the Police Force Act 2004;(c) any visiting force lawfully present in Singapore under the","(3) An article or instrument is presumed to be carried with lawfulauthority if it is carried by -(a)  any member of the Singapore Armed Forces, the Singapore
Police Force, the Singapore Civil Defence Force or anyauxiliary police force created under any written law;(b) a forensic specialist, civilian police assistant or law",
Question: Is self-defense a valid legal defense in Singapore?,"Answer: Yes, self-defense is a recognized legal defense under Section 96 of the Penal Code, provided the act was necessary and proportionate to the threat faced.","True, this could be also found in Penal Code 1871, section 96: ""Nothing is an offence which is done in the exercise of the right
 of private defence.""",Nothing done in private defence is an offence 96. Nothing is an offence which is done in the exercise of the right of private defence.,jj,"Yes, self-defense is generally recognized as a valid legal defense in Singapore.
Here's how it works:
The Burden of Proof: The person claiming self-defense has the burden to prove that they acted reasonably and lawfully in defending themselves against an imminent threat of harm. This means demonstrating that:
They were facing a real, immediate danger;
Their actions were proportionate to the level of threat posed (i.e., using force only as necessary);
There was no other way to avoid being harmed or prevent the crime from happening.
Important Considerations:
Reasonable Force: The use of reasonable force is crucial in self-defense cases. This means that any action taken must be proportionate and not excessive, considering the level of threat faced.","(2) In this section, “offence” includes any act committed at anyplace out of Singapore which if committed in Singapore would bepunishable under any of the following sections, namely, 302, 304,382, 392,393,394,395, 396, 397,399, 402,435,436, 449,450, 459and 460, and every such act shall for the purposes of this section bedeemed to be punishable as if the accused person had been guilty of itin Singapore.
(a) A, knowing that B has committed gang-robbery, knowingly conceals B inorder to screen him from legal punishment. Here, as B is liable to imprisonmentfor a term of not less than 5 years and not more than 20 years, A is liable toimprisonment for a term not exceeding 7 years, and is also liable to fine.","(2) In this section, “offence' includes also any act or omission ofwhich a person is alleged to have been guilty out of Singapore whichif he had been guilty ofit in Singapore would have been punishable asan offence and for which he is under any law relating to extradition,or otherwise, liable to be apprehended or detained in custody inSingapore, and every such act or omission shall for the purpose of thissection be deemed to be punishable as if the accused person had beenguilty of it in Singapore.
217. Whoever, being a public servant, knowingly disobeys anydirection of the law as to the way in which he is to conduct himself assuch public servant, intending thereby to save, or knowing it to belikely that he will thereby save, any person from legal punishment, orsubject him to a lesser punishment than that to which he is liable, orwith intent to save, or knowing that he is likely thereby to save, anyproperty from forfeiture or any charge to which it is liable by law,shall be punished with imprisonment for a term which may extend to2 years, or with fine, or with both","(2) In this section, “offence” includes any act committed at anyplace out of Singapore which if committed in Singapore would bepunishable under any of the following sections, namely, 302, 304,382, 392,393,394,395, 396, 397,399, 402,435,436, 449,450, 459and 460, and every such act shall for the purposes of this section bedeemed to be punishable as if the accused person had been guilty of itin Singapore.
213. Whoever accepts, or agrees to accept, or attempts to obtain anygratification for himself or any other person, or any restitution ofproperty to himself or any other person, in consideration of hisconcealing an offence, or of his screening any person from legalpunishment for any offence, or of his not proceeding against anyperson for the purpose of bringing him to legal punishment, shall —",
Qustion: What is the penalty for individuals found in possession of subversive documents?,,TRUE,"Making and possession of subversive documents 4.—(1) Any person who, without lawful excuse, makes, causes to be made, carries or has in his possession or under his control any subversive document shall be guilty of an offence and shall be liable on conviction to imprisonment for a term not exceeding 10 years.",jj,The penalty for possessing subversive documents without lawful excuse is imprisonment for a term not exceeding 10 years,"()A4 finds a valuable ring, not knowing to whom it belongs. A sells itimmediately without attempting to discover the owner. A is guilty of an offenceunder this section.
(g) A receives money transferred to his bank account from Z's bank account. Adiscovers that Z did not intend to transfer the money to him. A retains the moneyand appropriates it to his own use. A is guilty of an offence under this section.","()A4 finds a valuable ring, not knowing to whom it belongs. A sells itimmediately without attempting to discover the owner. A is guilty of an offenceunder this section.
404. Whoever dishonestly misappropriates or converts to his ownuse property, knowing that such property was in the possession of adeceased person at the time of that person's decease, and has not sincebeen in the possession of any person legally entitled to suchpossession, shall be punished with imprisonment for a term whichmay extend to 3 years, and shall also be liable to fine; and if theoffender at the time of such person's decease was employed by him asa clerk or servant, the imprisonment may extend to 7 years.","4.—(1) Any person who, without lawful excuse, makes, causes tobe made, carries or has in his possession or under his control anysubversive document shall be guilty of an offence and shall be liableon conviction to imprisonment for a term not exceeding 10 years.
in such circumstances that at no time did he havereasonable cause to believe or suspect that the documentwas a subversive document.",
Question: How long can a person be detained without being brought before a court?,,TRUE,"Person arrested not to be detained more than 48 hours 68.—(1) Unless the court orders otherwise under section 92(3)(a) or 93(3B)(a), no police officer may detain in custody a person who has been arrested without a warrant for a longer period than under all the circumstances of the case is reasonable. [19/2018] (2) The period must not exceed 48 hours exclusive of the time necessary for the journey from the place of arrest to the Magistrate’s Court.",jj,"According to the Criminal Procedure Code, an arrested person must be brought before a Magistrate's Court without delay. However, there are exceptions and specific circumstances that may allow for temporary detention .
It is important to note: The exact duration of pre-trial detention varies depending on individual cases and legal procedures in Singapore.",Arrested person to be brought before court without delay,"(5) The person who is brought before a Magistrate's Court undersubsection (4) may —
(a) be ordered to be detained in custody until the person can betried; or","(3) When security is taken under this section, the person to whomthe warrant is directed must, when required, send the bond to thecourt.
Arrested person to be brought before court without delay",
Question: What constitutes criminal trespass in Singapore?,"Answer: Under Section 447 of the Penal Code, criminal trespass involves entering or remaining on another's property with the intent to commit an offense or to intimidate, insult, or annoy the property owner.","It should be Section 441 instead, specifically being ""Whoever enters into or upon property in the possession of another with intent to commit an offence or to intimidate, insult or annoy any person in possession of such property, or having lawfully entered into or upon such property, unlawfully remains there with intent thereby to intimidate, insult or annoy any such person, or with intent to commit an offence, is said to commit “criminal trespass”""","Whoever enters into or upon property in the possession of another with intent to commit an offence or to intimidate, insult or annoy any person in possession of such property, or having lawfully entered into or upon such property, unlawfully remains there with intent thereby to intimidate, insult or annoy any such person, or with intent to commit an offence, is said to commit “criminal trespass""",Huanqing,"Whoever commits criminal trespass shall be punished with imprisonment for a term which may extend to 3 months, or with fine which may extend to $1,500, or with both","A person may be a party to a criminal conspiracy in Singaporeto commit an offence outside Singapore, which would constitute anoffence if committed in Singapore. [15/2019]","Every public servant who, being a citizen or a permanent residentof Singapore, when acting or purporting to act in the course of hisemployment, commits an act or omission outside Singapore that ifcommitted in Singapore would constitute an offence under the law inforce in Singapore, is deemed to have committed that act or omissionin Singapore. and includes an attempt to commit the offence, an abetmentof the offence and a criminal conspiracy to commit theoffence.","is entering sufficient to constitute house-breaking.
[15/2019]
443. [Repealed by Act 15 of 2019]444. [Repealed by Act 15 of 2019]445. [Repealed by Act 15 of 2019]446. [Repealed by Act 15 of 2019]
Punishment for criminal trespass
447. Whoever commits criminal trespass shall be punished withimprisonment for a term which may extend to 3 months, or with finewhich may extend to $1,500, or with both.
Informal Consolidation - version in force from 31/1/2024
Punishment for house-breaking
448. Whoever commits house-breaking shall be guilty of an offenceand shall be punished with imprisonment for a term which mayextend to 3 years, or with fine, or with both.
[15/2019]
House-breaking in order to commit an offence punishable withdeath",
Question: Can minors be sentenced to imprisonment in Singapore?,"Answer: Minors under the age of 16 are generally dealt with under the Children and Young Persons Act and may be placed in rehabilitation instead of imprisonment, except in serious cases.","It's from ""Children and Young Persons Act 1993"", which is not part of our documents",,Huanqing,,,,,
Question: What is the punishment for drug trafficking in Singapore?,"Answer: Under the Misuse of Drugs Act, drug trafficking can lead to severe penalties, including life imprisonment or the death penalty, depending on the quantity and type of drug involved.",MDA not mentioned in Penal Code,,Huanqing,,,,,
"Question: What is the punishment for furnishing false information to a public servant?
",-,"Penal Code Page 106, term 177","A person who, being legally bound to furnish
information on any subject to any public servant, as such,
furnishes, as true, information on the subject which the person
knows or has reason to believe to be false, shall —
(a) in the case of an individual, be punished with
imprisonment for a term which may extend to 6 months,
or with fine which may extend to $5,000, or with both; or
(b) in any other case, be punished with fine which may extend
to $10,000.",Huanqing,"he penalty for furnishing false information to a public servant in Singapore can vary depending on several factors, including:
                            Severity of the False Information: If it's knowingly providing false information that could lead to harm or injustice.
                            Intent: If you intended to deceive and cause damage.
                            Here are some general guidelines for punishment under this section:
                            1. The penalty can range from a fine, up to $5000 (Singapore dollars), to imprisonment of up to six months. This is outlined in Penal Code Section 183(a). 2. In addition, the court may impose additional penalties like fines or community service depending on the circumstances and severity of the offense.","(2) If the notice or information required to be given respects thecommission of an offence, or is required for the purpose of preventingthe commission of an offence or in order to the apprehension of an
177.—(l) A person who, being legally bound to furnishinformation on any subject to any public servant, as such,furnishes, as true, information on the subject which the personknows or has reason to believe to be false, shall -(a) in the case of an individual, be punished with","182. Whoever gives to any public servant any information which heknows or believes to be false, intending thereby to cause, or knowingit to be likely that he will thereby cause, such public servant to use thelawful power of such public servant to the injury or annoyance of anyperson, or to do or omit anything which such public servant ought notto, or would not, do or omit if the true state of facts respecting whichsuch information is given were known by him, shall be punished withimprisonment for a term which may extend to 2 years, or with fine, orWith both.
llustrations
(a) A informs a superintendent of police that Z, a police officer subordinate tosuch superintendent, has been guilty of neglect of duty or misconduct, knowingsuch information to be false, and knowing it to be likely that the information willcause the superintendent to dismiss Z. A has committed the offence defined inthis section.","False statement on oath to public servant or person authorisedto administer an oath
181. Whoever, being legally bound by an oath to state the truth onany subject to any public servant or other person authorised by law toadminister such oaths, makes to such public servant or other person asaforesaid, touching that subject, any statement which is false, andwhich he either knows or believes to be false or does not believe to betrue, shall be punished with imprisonment for a term which mayextend to 3 years, and shall also be liable to fine.
False information, with intent to cause a public servant to usehis lawful power to the injury of another person",
"Question: What constitutes defamation under the Penal Code?
",-,"Penal Code Page 282, term 499","Whoever, by words either spoken or intended to be read, or by
signs, or by visible representations, makes or publishes any
imputation concerning any person, intending to harm, or knowing
or having reason to believe that such imputation will harm, the
reputation of such person, is said, except in the cases hereinafter
excepted, to defame that person.",Huanqing,"The answer you are looking for is not found in the knowledge base!
Explanation: The provided knowledge base focuses on defenses to charges related to specific sections of the Penal Code, particularly those concerning offenses like sexual assault and false evidence. It does not contain information about defamation under the Penal Code . To understand what constitutes defamation under this code, you would need to consult a legal resource or expert specializing in criminal law.","(3) It is a defence to a charge for an offence under sections 377BHto 377BK if the act that is alleged to constitute the offence --(a) has a legitimate purpose related to science, medicine,education or art; and
(b) A is a photo-journalist in a war zone. A takes a photo of a child victim oftorture and submits this together with an article on the plight of such children to anews organisation for publication. The taking and sending of the photo has alegitimate purpose.","(2) It is a defence to a charge for an offence under section 377BB,377BC, 377BD or 377BE(1) if-(a)  the act that is alleged to constitute the offence was done for
injury to the person (B) mentioned in section 377BB(1),(2), (3), (4) or (5), 377BC(1) or (2) or 377BE(1) or theperson depicted  in  the intimate image  or  recordingmentioned in section 377BD(1)(b), and with reasonablecause:(i) the  prevention,  detection,investigation   or","(2) It is a defence to a charge for an offence under section 377BB,377BC, 377BD or 377BE(1) if-(a)  the act that is alleged to constitute the offence was done for
(b) the image or recording (if any) obtained through thecommission of an offence under section 377BB or theintimate image or recording (if any) mentioned insection 377BD(1)(b) or 377BE(5) was not kept for aperiod longer than what was reasonably necessary orrequired for the purposes mentioned in paragraph (a).",
